12/01/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,12,34,0,46,0,5,74,0,79,0,17,108,0,125,76,0,76,201
12/02/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,6,24,0,30,0,0,221,0,221,0,6,245,0,251,56,0,56,307
12/03/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,5,28,0,33,0,0,101,19,120,0,5,129,19,153,80,0,80,233
12/04/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,12,33,0,45,0,8,88,0,96,0,20,121,0,141,84,0,84,225
12/05/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,15,47,0,62,0,0,118,0,118,0,15,165,0,180,78,0,78,258
12/06/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,11,32,0,43,0,4,86,0,90,0,15,118,0,133,52,0,52,185
12/07/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,14,43,0,57,0,0,97,0,97,0,14,140,0,154,92,0,92,246
12/08/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,9,26,0,35,0,10,93,0,103,0,19,119,0,138,134,0,134,272
12/09/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,7,21,0,28,0,3,116,0,119,0,10,137,0,147,40,0,40,187
12/10/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,6,33,0,39,0,0,39,0,39,0,6,72,0,78,24,0,24,102
12/11/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,12,33,0,45,0,4,54,0,58,0,16,87,0,103,64,0,64,167
12/12/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,13,39,0,52,0,1,67,0,68,0,14,106,0,120,66,0,66,186
12/13/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,11,31,0,42,0,3,90,0,93,0,14,121,0,135,70,0,70,205
12/14/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,9,27,0,36,0,0,100,0,100,0,9,127,0,136,24,0,24,160
12/15/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,9,32,0,41,0,0,115,0,115,0,9,147,0,156,88,0,88,244
12/16/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,7,20,0,27,0,4,136,0,140,0,11,156,0,167,14,0,14,181
12/17/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,1,1,0,2,0,4,128,0,132,0,5,129,0,134,44,0,44,178
12/18/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,9,26,0,35,0,10,112,0,122,0,19,138,0,157,52,0,52,209
12/19/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,13,39,0,52,0,15,103,0,118,0,28,142,0,170,72,0,72,242
12/20/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,10,32,0,42,0,7,121,0,128,0,17,153,0,170,90,0,90,260
12/21/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,17,55,0,72,0,23,123,2,148,0,40,178,2,220,78,0,78,298
12/22/2000,BCT,FL,ASO,ES,Federal Contract Tower,0,7,25,0,32,0,23,80,0,103,0,30,105,0,135,72,0,72,207
